id;nome;quantidade_quartos;vagas;classificacao;status;cep;bairro;endereco
1;underline rein;20912;32555;32439;false;pace once diet;benefit;peppery winkle
2;supposing fussy till;4606;15698;29366;false;via yieldingly;sheepishly philosophize furthermore;infuse soggy anguished
3;furthermore;16845;11400;29755;true;up finally;smash gleefully duh;winding
4;through;4455;9277;32224;false;tongue what;tough-guy;slump only
5;scourge esteemed er;20306;20276;20274;true;voluntarily;frightfully gad;once
6;till;9465;30094;7820;false;regarding acrylic silver;blah;dogsled
7;copyright since;9794;21195;1112;false;puddle amid;sake;parry potentially
8;cavernous from broaden;14599;4890;19464;true;if not;domesticate;devoted ack whereas
9;crystallise incriminate;12889;32326;28356;false;digital past;before;apropos
10;thoroughly abaft infest;18896;4738;17951;false;downright;tapioca sympathetically;when unless
