id;data_chekin;data_chekout;data_reserva
1;2024-05-23T13:53:51;2024-05-24T10:09:05;2024-05-24T09:26:07
2;2024-05-24T00:23:25;2024-05-23T13:10:18;2024-05-24T12:06:45
3;2024-05-24T11:55:15;2024-05-23T14:55:05;2024-05-24T08:17:40
4;2024-05-23T14:35:04;2024-05-23T15:57:18;2024-05-23T23:45:19
5;2024-05-23T17:03:11;2024-05-23T13:11:07;2024-05-24T04:59:32
6;2024-05-24T04:46:53;2024-05-24T10:28:34;2024-05-24T12:42:42
7;2024-05-23T15:36:42;2024-05-24T09:55:10;2024-05-23T20:24:11
8;2024-05-23T18:44:10;2024-05-24T10:30:28;2024-05-23T21:38:59
9;2024-05-24T00:06:07;2024-05-24T10:21:50;2024-05-24T06:53:09
10;2024-05-23T18:41:08;2024-05-24T00:58:16;2024-05-24T02:53:30
